2026-01-21 17:14:02 | INFO | runtime | Starting DQNN run
2026-01-21 17:14:51 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-01-21 17:14:51 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Quandela/PercevalQuest-MNIST/70475c335c5d861723fc36c0e855a42bc3a476c1/README.md "HTTP/1.1 200 OK"
2026-01-21 17:14:52 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/70475c335c5d861723fc36c0e855a42bc3a476c1/PercevalQuest-MNIST.py "HTTP/1.1 404 Not Found"
2026-01-21 17:14:53 | INFO | httpx | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/Quandela/PercevalQuest-MNIST/Quandela/PercevalQuest-MNIST.py "HTTP/1.1 404 Not Found"
2026-01-21 17:14:53 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/Quandela/PercevalQuest-MNIST/revision/70475c335c5d861723fc36c0e855a42bc3a476c1 "HTTP/1.1 200 OK"
2026-01-21 17:14:53 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/70475c335c5d861723fc36c0e855a42bc3a476c1/.huggingface.yaml "HTTP/1.1 404 Not Found"
2026-01-21 17:14:54 | INFO | httpx | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=Quandela/PercevalQuest-MNIST "HTTP/1.1 500 Internal Server Error"
2026-01-21 17:14:54 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/Quandela/PercevalQuest-MNIST/tree/70475c335c5d861723fc36c0e855a42bc3a476c1/data?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-01-21 17:14:55 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/Quandela/PercevalQuest-MNIST/tree/70475c335c5d861723fc36c0e855a42bc3a476c1?recursive=false&expand=false "HTTP/1.1 200 OK"
2026-01-21 17:14:55 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/70475c335c5d861723fc36c0e855a42bc3a476c1/dataset_infos.json "HTTP/1.1 404 Not Found"
2026-01-21 17:14:57 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-01-21 17:14:57 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Quandela/PercevalQuest-MNIST/70475c335c5d861723fc36c0e855a42bc3a476c1/README.md "HTTP/1.1 200 OK"
2026-01-21 17:14:57 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/70475c335c5d861723fc36c0e855a42bc3a476c1/PercevalQuest-MNIST.py "HTTP/1.1 404 Not Found"
2026-01-21 17:14:57 | INFO | httpx | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/Quandela/PercevalQuest-MNIST/Quandela/PercevalQuest-MNIST.py "HTTP/1.1 404 Not Found"
2026-01-21 17:14:57 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/70475c335c5d861723fc36c0e855a42bc3a476c1/.huggingface.yaml "HTTP/1.1 404 Not Found"
2026-01-21 17:14:57 | INFO | httpx | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=Quandela/PercevalQuest-MNIST "HTTP/1.1 500 Internal Server Error"
2026-01-21 17:14:58 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/Quandela/PercevalQuest-MNIST/resolve/70475c335c5d861723fc36c0e855a42bc3a476c1/dataset_infos.json "HTTP/1.1 404 Not Found"
